SubjectID,PathNum,Condition,Success,Pctg. Rich Club
1010,1,A,True,0.1318864774624374
1010,2,A,True,0.15090543259557343
1010,3,A,False,0.0946843853820598
1010,4,A,True,0.08921161825726141
1010,5,A,True,0.0807899461400359
1010,6,A,True,0.05828220858895705
1010,7,A,True,
1010,8,A,True,0.07964601769911504
1010,9,A,False,0.05955334987593052
1019,1,B,True,0.06705539358600583
1019,2,B,True,0.0
1019,3,B,True,
1019,4,B,True,0.15555555555555556
1019,5,B,True,0.1
1019,6,B,True,0.13001912045889102
1019,7,B,True,0.20866141732283464
1019,8,B,True,0.22033898305084745
1019,9,B,True,0.06230031948881789
1056,1,B,True,0.2054794520547945
1056,2,B,True,0.0
1056,3,B,True,
1056,4,B,True,0.03571428571428571
1056,5,B,False,0.06629834254143646
1056,6,B,True,0.13053613053613053
1056,7,B,True,0.17971014492753623
1056,8,B,False,0.09582309582309582
1056,9,B,True,0.06722689075630252
1068,1,A,True,0.210752688172043
1068,2,A,True,0.1606714628297362
1068,3,A,True,0.11585365853658537
1068,4,A,True,0.08155339805825243
1068,5,A,False,0.10323886639676114
1068,6,A,True,0.0
1068,7,A,True,
1068,8,A,True,0.12422360248447205
1068,9,A,False,0.10426296866974834
1072,1,A,True,0.14553014553014554
1072,2,A,True,0.1393939393939394
1072,3,A,True,0.06865671641791045
1072,4,A,True,0.09408926417370325
1072,5,A,False,0.08099352051835854
1072,6,A,True,0.0
1072,7,A,True,
1072,8,A,True,0.1784037558685446
1072,9,A,True,0.0759493670886076
1073,1,A,False,0.15934755332496864
1073,2,A,True,0.14780600461893764
1073,3,A,False,0.08098591549295775
1073,4,A,True,0.12163265306122449
1073,5,A,True,0.11169652265542676
1073,6,A,True,0.008130081300813009
1073,7,A,False,0.08838709677419355
1073,8,A,True,0.09375
1073,9,A,False,0.13275923932543954
1075,1,B,True,0.08235294117647059
1075,2,B,True,0.0
1075,3,B,True,
1075,4,B,True,0.03409090909090909
1075,5,B,True,0.08482142857142858
1075,6,B,True,0.20212765957446807
1075,7,B,True,0.08395522388059702
1075,8,B,True,0.1987179487179487
1075,9,B,True,0.026595744680851064
1077,1,A,True,0.11728395061728394
1077,2,A,True,0.13636363636363635
1077,3,A,True,0.05622489959839357
1077,4,A,False,0.07265179034769072
1077,5,A,False,0.06928213689482471
1077,6,A,True,0.015544041450777202
1077,7,A,True,
1077,8,A,True,0.12459016393442623
1077,9,A,True,0.07631578947368421
1079,1,B,True,0.1735330836454432
1079,2,B,True,0.08464566929133858
1079,3,B,True,
1079,4,B,True,0.17080745341614906
1079,5,B,True,0.08414239482200647
1079,6,B,True,0.1783132530120482
1079,7,B,False,0.07169811320754717
1079,8,B,False,0.09450171821305842
1079,9,B,True,0.06504065040650407
1080,1,A,True,0.1839258114374034
1080,2,A,True,0.15879017013232513
1080,3,A,True,0.07692307692307693
1080,4,A,False,0.1227236737925574
1080,5,A,False,0.1661631419939577
1080,6,A,True,0.0
1080,7,A,True,
1080,8,A,True,0.12442396313364056
1080,9,A,False,0.11230283911671925
